PLAY #,ODK,DN,DIST,HASH,YARD LN,PLAY TYPE,RUN AREA,PASS ZONE,GN/LS,RESULT,OFF FORM,OFF PLAY,comments,DEF FRONT,S ALIGN,COVERAGE,BLITZ,comments2,QTR,OPP TEAM
207,O,2,8,R,47,Run,P-R,,2,Rush,DOUBLES,A2,,42,2HI,C1,5I,,,University of La Verne
209,O,3,1,R,40,Run,P-R,,1,Rush,DOUBLES,A2,,43,2HI,C4,,,,University of La Verne
210,O,1,10,R,39,Run,P-R,,0,Rush,TRIO,A2,,42,1HI,OVER,,,,University of La Verne
168,O,1,10,R,-48,Run,C-L,,4,Rush,DEUCE,A2,,42,2HI,ZERO,,,,Whittier College
150,O,1,10,R,-26,Pass,,1,2,Complete,TEXAS,A2 NOW,,42,2HI,3ROLL,,,3,George Fox University
70,O,3,6,M,35,Run,,,-2,Rush,50,A23,,41,1HI,C3,,,,University of Puget Sound
125,O,1,10,L,-48,Run,P-R,,2,Rush,50,A23,,32,2HI,C3,,,,Willamette University
50,O,1,10,,50,Pass,,,50,TD,50,A23,,32,2HI,C2,,,,Lewis & Clark College
95,O,1,10,,-20,Run,,,3,,50,A23,,32,2HI,C2,,,,Linfield College
97,O,1,10,,-42,Pass,,,3,,50,A23,,32,2HI,24,,,,Linfield College
116,O,1,8,,8,Run,,,4,,50,A23,,42,2HI,OVER,,,,Linfield College
37,O,2,4,R,43,Pass,,3,5,Complete,50,A23,,33,2HI,21,4R,,,Chapman University
99,O,3,4,L,4,Run,C-L,,4,TD,50,A23,,42,0,OVER,,,,Chapman University
54,O,4,1,L,42,Run,C-R,,8,Rush,50,A23,,42,1HI,C1,5I,,,University of La Verne
106,O,2,6,R,-47,Pass,,3,5,Complete,DOUBLES,AF 1,,42,2HI,C4,,,2,George Fox University
139,O,1,10,,-36,Pass,,,,Interception,DOUBLES,AF 1,,34,2HI,2MAN,,,,Linfield College
145,O,1,10,L,30,Pass,,6,13,Complete,DOUBLES,AF 1,,42,2HI,C2,,,,Chapman University
81,O,2,5,L,-41,Pass,,1,1,Complete,DOUBLES,AF 2,,33,2HI,C4,4L,,2,George Fox University
125,O,1,10,R,12,Pass,,4,0,Incomplete,DOUBLES,AF 2,,42,2HI,24,,,3,George Fox University
84,O,1,10,,34,Pass,,,2,,ACE,AF 2,,42,2HI,C3,,,,Lewis & Clark College
25,O,1,10,R,32,Pass,,4,15,Complete,DOUBLES,AF 2,,33,2HI,C2,,,,Chapman University
92,O,2,4,L,-42,Pass,,4,13,Complete,DOUBLES,AF 2,,42,2HI,C2,,,,Chapman University
200,O,2,8,M,46,Pass,,4,0,Incomplete,DOUBLES,AF 2,,43,2HI,OVER,,,,University of La Verne
157,O,1,10,M,-38,Pass,,9,0,Incomplete,DOUBLES,ALOHA,,43,2HI,OVER,4I,,,Chapman University
84,O,3,7,L,-25,Pass,,4,0,Incomplete,TRIO,APPLE,,33,2HI,C3,,,,Linfield College
